nama_wisata,kabupaten,provinsi,label_rekomendasi
"Kawasan wisata Alam ""Manguni Sapalalum"" Lelema, Minahasa Selatan",Kabupaten Minahasa Selatan,Sulawesi Utara,Terbaik
KOYO BEACH,Kabupaten Banggai Kepulauan,Sulawesi Tengah,Buruk
Pantai Harapan Ammani,Kabupaten Pinrang,Sulawesi Selatan,Buruk
"Pantai COCONUT BEACH, lolak,Bolaang Mongondow Induk, Sulawesi Utara",Kabupaten Bolaang Mongondow,Sulawesi Utara,Sedang
PADANG MOLARA,Kabupaten Konawe Utara,Sulawesi Tenggara,Terbaik
Menara Alfa Omega,Kota Tomohon,Sulawesi Utara,Terbaik
Kolam Renang Alam Tilanga,Kabupaten Tana Toraja,Sulawesi Selatan,Buruk
Goa Tu'a Molangke Tombiano,Kabupaten Tojo Una-Una,Sulawesi Tengah,Buruk
Wisata Alam Tapubungi Pebotoa,Kabupaten Morowali,Sulawesi Tengah,Sedang
Kebun Raya UHO,Kota Kendari,Sulawesi Tenggara,Sedang
Pantai Moluno,Kabupaten Buton,Sulawesi Tenggara,Buruk
Pantai Boneoge,Kabupaten Donggala,Sulawesi Tengah,Terbaik
Nusa dolong,Kabupaten Kepulauan Talaud,Sulawesi Utara,Sedang
Pantai Abadi,Kabupaten Bolaang Mongondow Timur,Sulawesi Utara,Terbaik
Puncak Pakoba,Kabupaten Bolaang Mongondow Selatan,Sulawesi Utara,Baik
Taman Pakui Sayang,Kota Makassar,Sulawesi Selatan,Terbaik
Desa Wisata Rammang-rammang,Kabupaten Maros,Sulawesi Selatan,Sedang
Air Terjun Larowiu Meluhu Konawe,Kabupaten Konawe,Sulawesi Tenggara,Buruk
Permandian Air Panas Timba' Ko Kamp. Mini,Kabupaten Kepulauan Siau Tagulandang Biaro,Sulawesi Utara,Baik
Kawasan agro wisata desa Kassi,Kabupaten Jeneponto,Sulawesi Selatan,Buruk
Air panas kelewaha,Kabupaten Minahasa Tenggara,Sulawesi Utara,Sedang
Hutan Mangrove,Kota Makassar,Sulawesi Selatan,Sedang
Pemandian Kumaligon,Kabupaten Buol,Sulawesi Tengah,Buruk
Air Terjun Sarambu Ponglu,Kabupaten Toraja Utara,Sulawesi Selatan,Buruk
Puncak Amarilis Kota Kendari,Kota Kendari,Sulawesi Tenggara,Terbaik
BATU SENGGELOHE,Kabupaten Kepulauan Sangihe,Sulawesi Utara,Terbaik
Air terjun pelangi desa tinuna,Kabupaten Kolaka Utara,Sulawesi Tenggara,Buruk
Porame Paradise Resort,Kabupaten Sigi,Sulawesi Tengah,Buruk
Pantai Tanjung Bubuan,Kabupaten Bolaang Mongondow Timur,Sulawesi Utara,Buruk
Air terjun 801,Kabupaten Banggai,Sulawesi Tengah,Buruk
Danau Cut Nyak Dien,Kabupaten Muna,Sulawesi Tenggara,Terbaik
Air Terjun Depa',Kabupaten Gowa,Sulawesi Selatan,Sedang
Pantai Tanjung Bunga,Kota Makassar,Sulawesi Selatan,Sedang
Danau Mawang,Kabupaten Gowa,Sulawesi Selatan,Sedang
Buntu Balebo,Kabupaten Luwu Utara,Sulawesi Selatan,Sedang
Gunung Mahawu,Kota Tomohon,Sulawesi Utara,Sedang
Kendari water front city,Kota Kendari,Sulawesi Tenggara,Buruk
Bukit Bossolo,Kabupaten Jeneponto,Sulawesi Selatan,Baik
Air Terjun Bulu Langi,Kabupaten Enrekang,Sulawesi Selatan,Buruk
Air Terjun Tudu Aog,Kabupaten Bolaang Mongondow,Sulawesi Utara,Sedang
Kopdargab Foi#sulselbar,Kabupaten Gowa,Sulawesi Selatan,Terbaik
Air Terjun Sarambu Bittuang,Kabupaten Tana Toraja,Sulawesi Selatan,Sedang
Makatete Hills,Kabupaten Minahasa,Sulawesi Utara,Terbaik
Masjid Al-Husein,Kabupaten Muna,Sulawesi Tenggara,Sedang
Air Terjun Laumarang,Kabupaten Banggai,Sulawesi Tengah,Buruk
Wisata Permandian SINTOMU,Kabupaten Banggai,Sulawesi Tengah,Sedang
Wisata kaongkea,Kabupaten Buton,Sulawesi Tenggara,Buruk
Pantai Sampaga,Kabupaten Mamuju,Sulawesi Barat,Terbaik
Argawana camp,Kabupaten Konawe,Sulawesi Tenggara,Sedang
"Wisata Maleu, DesaLobuto, Kec. Biluhu",Kabupaten Gorontalo,Gorontalo,Terbaik
Wakatobi Dive Adventure,Kabupaten Wakatobi,Sulawesi Tenggara,Buruk
Danau Dowiwi,Kabupaten Banggai,Sulawesi Tengah,Buruk
Air Terjun Merdeka,Kabupaten Maros,Sulawesi Selatan,Buruk
Kolam renang vila desa,Kabupaten Boalemo,Gorontalo,Terbaik
Air terjun Timbukar (Sapa),Kabupaten Minahasa,Sulawesi Utara,Terbaik
Pulau Karampuang,Kabupaten Mamuju,Sulawesi Barat,Terbaik
Benteng Nata,Kabupaten Wakatobi,Sulawesi Tenggara,Buruk
Tebing Mandu Tontonan,Kabupaten Enrekang,Sulawesi Selatan,Buruk
Wisata Sungai So'do,Kabupaten Mamuju,Sulawesi Barat,Terbaik
LASA Nature Tourism,Kabupaten Banggai Kepulauan,Sulawesi Tengah,Buruk
Danau Moat,Kabupaten Bolaang Mongondow Timur,Sulawesi Utara,Baik
pantai langkowala,Kabupaten Bombana,Sulawesi Tenggara,Sedang
Kawasan Ekonomi Khusus Likupang,Kabupaten Minahasa Utara,Sulawesi Utara,Buruk
Pantai Tanjong Buku,Kabupaten Polewali Mandar,Sulawesi Barat,Buruk
Otalojin (Batu jin),Kabupaten Gorontalo Utara,Gorontalo,Sedang
Bola Seratu,Kabupaten Wajo,Sulawesi Selatan,Sedang
TUGU KUDA DESA LAILANGGA,Kabupaten Muna,Sulawesi Tenggara,Sedang
Panker ( Pantai Kering ),Kabupaten Soppeng,Sulawesi Selatan,Buruk
Pantai pasir putih,Kabupaten Tojo Una-Una,Sulawesi Tengah,Terbaik
Tanjung Lelapide,Kabupaten Kepulauan Sangihe,Sulawesi Utara,Terbaik
Air Terjun Nepo,Kabupaten Barru,Sulawesi Selatan,Terbaik
Permandian Air Tawar Desa Kautu,Kabupaten Banggai Kepulauan,Sulawesi Tengah,Baik
Pantai Karang tajam,Kabupaten Bone Bolango,Gorontalo,Terbaik
Taipa Beach,Kota Palu,Sulawesi Tengah,Sedang
Mata Air Wolio,Kabupaten Muna,Sulawesi Tenggara,Buruk
Taman Taiganja Kalukubula,Kabupaten Sigi,Sulawesi Tengah,Sedang
Pantai Babana,Kabupaten Mamuju Tengah,Sulawesi Barat,Buruk
Air Terjun Bahomumpa,Kabupaten Morowali,Sulawesi Tengah,Buruk
Pantai Molobog,Kabupaten Bolaang Mongondow Timur,Sulawesi Utara,Buruk
AIR TERJUN WONUA MOMAHE,Kabupaten Konawe,Sulawesi Tenggara,Terbaik
Sa'pak Bayobayo Sangalla Tana Toraja,Kabupaten Tana Toraja,Sulawesi Selatan,Sedang
Wisata Mangrove Park Desa Bulo,Kabupaten Minahasa Utara,Sulawesi Utara,Buruk
Watu Tiwa Toar Lumimuut,Kabupaten Minahasa Selatan,Sulawesi Utara,Buruk
Air Terjun Pandawa,Kabupaten Gowa,Sulawesi Selatan,Baik
Air Terjun Kajejen,Kabupaten Enrekang,Sulawesi Selatan,Buruk
Pantai Wisata Maponu,Kabupaten Pasangkayu,Sulawesi Barat,Terbaik
Pantai Koa-Koa,Kabupaten Pasangkayu,Sulawesi Barat,Buruk
Watu Pinawetengan,Kabupaten Minahasa,Sulawesi Utara,Terbaik
Waduk Tamariri,Kabupaten Mamasa,Sulawesi Barat,Buruk
Wisata Pantai Tersakiti,Kabupaten Bolaang Mongondow Selatan,Sulawesi Utara,Buruk
Danau Salendang Popidolon,Kabupaten Banggai Kepulauan,Sulawesi Tengah,Buruk
Pantai Labombo,Kota Palopo,Sulawesi Selatan,Buruk
Destinasi wisata Pemandian alam Telaga biru,Kabupaten Bombana,Sulawesi Tenggara,Sedang
air terjun tiga lantai,Kabupaten Bantaeng,Sulawesi Selatan,Buruk
Bulu Paleteang,Kabupaten Pinrang,Sulawesi Selatan,Sedang
Air Panas Kadidia,Kabupaten Sigi,Sulawesi Tengah,Sedang
Pantai Sunset,Kabupaten Donggala,Sulawesi Tengah,Sedang
Bulu tombolo,Kabupaten Maros,Sulawesi Selatan,Buruk
Rise and Shine,Kota Parepare,Sulawesi Selatan,Terbaik
Tanete Gandangdewata,Kabupaten Mamasa,Sulawesi Barat,Baik
Lake Seper,Kabupaten Minahasa Utara,Sulawesi Utara,Terbaik
Air Terjun Tetewa,Kabupaten Kolaka Timur,Sulawesi Tenggara,Baik
Dermaga puungkoilu,Kabupaten Morowali,Sulawesi Tengah,Terbaik
Air Terjun Regesan Tinoor,Kota Tomohon,Sulawesi Utara,Buruk
Masjid Al Markaz Al Islami Maros,Kabupaten Maros,Sulawesi Selatan,Terbaik
Pantai Sunrise,Kabupaten Minahasa,Sulawesi Utara,Baik
Bukit Palipi Sendana Kab. Majene.,Kabupaten Majene,Sulawesi Barat,Sedang
Paket Wisata Likupang,Kabupaten Minahasa Utara,Sulawesi Utara,Sedang
Karina Beach,Kabupaten Tojo Una-Una,Sulawesi Tengah,Buruk
Rumah Adat Mamuju,Kabupaten Mamuju,Sulawesi Barat,Buruk
Pantai Malalayang,Kota Manado,Sulawesi Utara,Terbaik
Air Terjun Waesai,Kabupaten Barru,Sulawesi Selatan,Sedang
Wisata alam desa tiromanda,Kabupaten Luwu,Sulawesi Selatan,Sedang
CAMPING GROUND SELET,Kabupaten Minahasa Tenggara,Sulawesi Utara,Sedang
Pantai Tasik Oki,Kota Bitung,Sulawesi Utara,Baik
Bukit CNGR,Kabupaten Morowali,Sulawesi Tengah,Buruk
Darunu Mangrove Park,Kabupaten Minahasa Utara,Sulawesi Utara,Baik
Pantai Mangket,Kabupaten Minahasa Utara,Sulawesi Utara,Baik
Pantai Walengkabola,Kabupaten Muna,Sulawesi Tenggara,Buruk
Jembatan Kaca Bira,Kabupaten Bulukumba,Sulawesi Selatan,Buruk
Pantai Melambai,Kabupaten Banggai Laut,Sulawesi Tengah,Buruk
Danau Aneka Tama Siloro Pangkep,Kabupaten Pangkajene Dan Kepulauan,Sulawesi Selatan,Sedang
Puncak lakampufu,Kabupaten Muna,Sulawesi Tenggara,Buruk
Pantai Hongaha,Kabupaten Wakatobi,Sulawesi Tenggara,Terbaik
Air Terjun Mengkendek,Kabupaten Tana Toraja,Sulawesi Selatan,Terbaik
Air Terjun Tumimperas,Kota Tomohon,Sulawesi Utara,Terbaik
Kompleks Rumah Adat Labakkang,Kabupaten Pangkajene Dan Kepulauan,Sulawesi Selatan,Buruk
Bukit Teletubies Bajo Indah,Kabupaten Konawe,Sulawesi Tenggara,Terbaik
Pomantowan Passi,Kabupaten Bolaang Mongondow,Sulawesi Utara,Sedang
Pasabbeng,Kabupaten Luwu Utara,Sulawesi Selatan,Terbaik
Pantai Jiko / Patokan,Kabupaten Bolaang Mongondow Timur,Sulawesi Utara,Terbaik
Makam Imam Syaban dan Lipuadino Lolantang,Kabupaten Banggai Kepulauan,Sulawesi Tengah,Terbaik
Bendungan Ponre Ponre,Kabupaten Bone,Sulawesi Selatan,Buruk
Lalos,Kabupaten Tolitoli,Sulawesi Tengah,Terbaik
Bukit Sibedi,Kabupaten Sigi,Sulawesi Tengah,Sedang
Air terjun penanggootu,Kabupaten Kolaka Timur,Sulawesi Tenggara,Baik
Batu Ejayya,Kabupaten Bantaeng,Sulawesi Selatan,Terbaik
Taman Pintar,Kabupaten Pinrang,Sulawesi Selatan,Sedang
Pantai Gubahi,Kabupaten Buton,Sulawesi Tenggara,Sedang
Wisata Air Terjun Botuliodu,Kabupaten Bolaang Mongondow Selatan,Sulawesi Utara,Buruk
Labotan Bone,Kabupaten Banggai Kepulauan,Sulawesi Tengah,Buruk
Wisata Pantai Swis,Kabupaten Buton,Sulawesi Tenggara,Baik
Air Terjun Garuntungan Kassi,Kabupaten Jeneponto,Sulawesi Selatan,Terbaik
Wisata Banua Pangka Wotu,Kabupaten Luwu Timur,Sulawesi Selatan,Terbaik
Sungai Jodoh,Kota Palopo,Sulawesi Selatan,Sedang
Pantai Apes,Kabupaten Kepulauan Sangihe,Sulawesi Utara,Sedang
Balai Taman Nasional Wakatobi,Kabupaten Wakatobi,Sulawesi Tenggara,Terbaik
Pulau Karang Pasir Putih,Kabupaten Morowali,Sulawesi Tengah,Buruk
Cinta Souvenir Bantimurung,Kabupaten Maros,Sulawesi Selatan,Terbaik
Gunung Tumpu,Kabupaten Banggai,Sulawesi Tengah,Buruk
"Pantai uwe buro, Palu",Kota Palu,Sulawesi Tengah,Buruk
Danow Tondok,Kabupaten Bolaang Mongondow Timur,Sulawesi Utara,Sedang
Tumbak Island Cottage Ratahan,Kabupaten Minahasa Tenggara,Sulawesi Utara,Sedang
Tanjung Ngalo Mamuju,Kabupaten Mamuju Tengah,Sulawesi Barat,Buruk
Pantai Baluno,Kabupaten Majene,Sulawesi Barat,Sedang
Bukit Bersantai,Kabupaten Bombana,Sulawesi Tenggara,Buruk
Taman Musafir,Kabupaten Pangkajene Dan Kepulauan,Sulawesi Selatan,Terbaik
Pantai Labuana,Kabupaten Donggala,Sulawesi Tengah,Baik
Permandian Lowi Malo,Kabupaten Bombana,Sulawesi Tenggara,Terbaik
"Negeri Seribu Batu (NeBuBa) ""Pondok Mahari""",Kota Palopo,Sulawesi Selatan,Baik
PUNCAK BAYY,Kabupaten Kolaka,Sulawesi Tenggara,Terbaik
Dermaga Kayu Biringkassi,Kabupaten Pangkajene Dan Kepulauan,Sulawesi Selatan,Sedang
Objek Wisata Hutan Bambu To' Kumila',Kabupaten Toraja Utara,Sulawesi Selatan,Buruk
Wisata Pemancingan dan Kuliner Lembah Sigi,Kabupaten Sigi,Sulawesi Tengah,Terbaik
Pantai Air Kiri,Kabupaten Morowali,Sulawesi Tengah,Sedang
Buyu Katapasa,Kabupaten Tojo Una-Una,Sulawesi Tengah,Terbaik
Wisata Tangga Seribu,Kabupaten Sigi,Sulawesi Tengah,Buruk
Wisata Kuliner Lambe-Lambe Maros,Kabupaten Maros,Sulawesi Selatan,Buruk
Air Terjun Baturiti,Kabupaten Parigi Moutong,Sulawesi Tengah,Baik
Dusun touba,Kabupaten Luwu Utara,Sulawesi Selatan,Baik
"Air Terjun Kadadima, Laine",Kabupaten Kepulauan Sangihe,Sulawesi Utara,Terbaik
Rumah Apung,Kabupaten Wajo,Sulawesi Selatan,Buruk
Pantai Onowa,Kabupaten Wakatobi,Sulawesi Tenggara,Sedang
Pantai Indah Kapu,Kabupaten Kolaka,Sulawesi Tenggara,Buruk
Permandian Alam Silika Garden,Kabupaten Luwu Timur,Sulawesi Selatan,Buruk
Pantai Pulau Kondo,Kabupaten Bombana,Sulawesi Tenggara,Buruk
TUGU BUTON SELATAN,Kabupaten Buton,Sulawesi Tenggara,Buruk
Pantai batu meja tongkaina,Kota Manado,Sulawesi Utara,Buruk
Teluk Manado,Kota Manado,Sulawesi Utara,Buruk
Muara Lakologou,Kota Baubau,Sulawesi Tenggara,Buruk
Pinus 2 Soputan,Kabupaten Minahasa,Sulawesi Utara,Terbaik
Danau Paku'E,Kabupaten Barru,Sulawesi Selatan,Buruk
air terjun wambalamba,Kabupaten Buton,Sulawesi Tenggara,Sedang
Air Terjun Kamumu,Kabupaten Banggai,Sulawesi Tengah,Terbaik
Lembah Titung (Bukit Teletubbies),Kabupaten Gowa,Sulawesi Selatan,Baik
Home Stay Mutiara Laut,Kabupaten Pohuwato,Gorontalo,Terbaik
Monumen MUTIARA,Kabupaten Buton,Sulawesi Tenggara,Baik
Monumen B.J. Habibie,Kabupaten Gorontalo,Gorontalo,Terbaik
puncak padel,Kabupaten Bone,Sulawesi Selatan,Buruk
Kawasan Wisata Bangsalae,Kabupaten Wajo,Sulawesi Selatan,Buruk
Wisata Danau Satria Panrannuangku,Kabupaten Takalar,Sulawesi Selatan,Terbaik
Gelora Permata Hijau Waetuwo,Kabupaten Wajo,Sulawesi Selatan,Sedang
Air Terjun Lewaja,Kabupaten Enrekang,Sulawesi Selatan,Buruk
Wisata Vovasanggayu,Kabupaten Pasangkayu,Sulawesi Barat,Terbaik
Wisata Air Terjun,Kabupaten Pohuwato,Gorontalo,Baik
Pantai Jampue,Kabupaten Pinrang,Sulawesi Selatan,Buruk
Bulu Gawalise,Kabupaten Donggala,Sulawesi Tengah,Buruk
Taman wisata stroberi,Kabupaten Enrekang,Sulawesi Selatan,Buruk
Air terjun penonoan,Kabupaten Mamuju,Sulawesi Barat,Buruk
Air Terjun Lengan,Kabupaten Maros,Sulawesi Selatan,Sedang
GPdI Bukit Zaitun Parepare,Kota Parepare,Sulawesi Selatan,Baik
SUAR MENARA INDAH,Kabupaten Kepulauan Selayar,Sulawesi Selatan,Sedang
Gong Perdamaian Nusantara - Mamuju,Kabupaten Mamuju Tengah,Sulawesi Barat,Buruk
Tonasa Park,Kabupaten Pangkajene Dan Kepulauan,Sulawesi Selatan,Buruk
Bulu Saukang,Kabupaten Maros,Sulawesi Selatan,Terbaik
RTH Papalimba Puday,Kota Kendari,Sulawesi Tenggara,Terbaik
GMIM Bukit Kasih Girian Permai,Kota Bitung,Sulawesi Utara,Terbaik
Pantai Timur Ngapaloka,Kabupaten Kepulauan Selayar,Sulawesi Selatan,Buruk
Benteng Takimpo,Kabupaten Buton,Sulawesi Tenggara,Terbaik
Wisata Dolli Bungaeja,Kabupaten Maros,Sulawesi Selatan,Baik
Air terjun garuda,Kabupaten Konawe,Sulawesi Tenggara,Terbaik
Wisata Lirang,Kota Bitung,Sulawesi Utara,Baik
Danau Rano Iwoi Tekonda,Kabupaten Konawe Utara,Sulawesi Tenggara,Terbaik
Lembah Lohe,Kabupaten Gowa,Sulawesi Selatan,Terbaik
Ranowangko Beach Resort,Kabupaten Minahasa,Sulawesi Utara,Terbaik
Wisata Alam Bonto Kalihara (Bukit Semut) Selayar,Kabupaten Kepulauan Selayar,Sulawesi Selatan,Terbaik
Objek Wisata Doud Ne Mukop,Kabupaten Minahasa,Sulawesi Utara,Baik
DESWITA ( DESTINASI WISATA ) SEJAHTERA,Kabupaten Bone Bolango,Gorontalo,Sedang
CAMPING WISATA KARANGAN,Kabupaten Enrekang,Sulawesi Selatan,Sedang
Air terjun STB Kaleok,Kabupaten Polewali Mandar,Sulawesi Barat,Baik
Pantai One Wanta,Kabupaten Buton Tengah,Sulawesi Tenggara,Terbaik
Rest Area Jeneponto,Kabupaten Jeneponto,Sulawesi Selatan,Buruk
LIHUNU,Kabupaten Minahasa Utara,Sulawesi Utara,Buruk
Danau Biru Kolaka Utara,Kabupaten Kolaka Utara,Sulawesi Tenggara,Terbaik
Wisata alam panapa,Kabupaten Morowali Utara,Sulawesi Tengah,Buruk
Gunung BATU SANGIA,Kabupaten Bombana,Sulawesi Tenggara,Terbaik
Pulau Dea-dea,Kabupaten Polewali Mandar,Sulawesi Barat,Baik
Puncak moat,Kabupaten Bolaang Mongondow Timur,Sulawesi Utara,Terbaik
Pantai Wantopi,Kabupaten Buton Tengah,Sulawesi Tenggara,Terbaik
Pegunungan Tokala,Kabupaten Morowali Utara,Sulawesi Tengah,Buruk
Bukit Paralayang Maddo,Kabupaten Barru,Sulawesi Selatan,Terbaik
Alun Alun Tilamuta,Kabupaten Boalemo,Gorontalo,Buruk
Kasawari Beach,Kota Bitung,Sulawesi Utara,Sedang
Wisata Pasir Putih Makkerre,Kabupaten Polewali Mandar,Sulawesi Barat,Buruk
Klenteng KWAN KONG Manado,Kota Manado,Sulawesi Utara,Baik
Pantai Moinit,Kabupaten Minahasa Selatan,Sulawesi Utara,Buruk
Taman Macan,Kota Makassar,Sulawesi Selatan,Terbaik
Pantai Marboro,Kabupaten Buton,Sulawesi Tenggara,Terbaik
WISATA BUKIT WAKOEA,Kabupaten Buton Selatan,Sulawesi Tenggara,Buruk
SANTORINI (Kawasan Talumolo Rindang & Indah),Kabupaten Gorontalo Utara,Gorontalo,Buruk
Taman Wisata Pantai Hesang,Kabupaten Kepulauan Sangihe,Sulawesi Utara,Terbaik
Limboto Lake,Kabupaten Gorontalo,Gorontalo,Terbaik
Pantai ku,Kota Parepare,Sulawesi Selatan,Baik
Hidden gem - taman wisata & camping,Kota Tomohon,Sulawesi Utara,Terbaik
Pantai Wisata Moian,Kabupaten Parigi Moutong,Sulawesi Tengah,Buruk
Hubat Sanjai,Kabupaten Sinjai,Sulawesi Selatan,Buruk
Danau Tempe,Kabupaten Wajo,Sulawesi Selatan,Terbaik
Wisata Jembatan Pantai Posan Paconne,Kabupaten Luwu,Sulawesi Selatan,Buruk
Pantai Penghibur Kota Poso,Kabupaten Poso,Sulawesi Tengah,Terbaik
Pantai Tinggian,Kabupaten Minahasa,Sulawesi Utara,Baik
Pantai Tanjung Tumpaan,Kabupaten Minahasa,Sulawesi Utara,Baik
Binotik,Kabupaten Banggai Laut,Sulawesi Tengah,Baik
Pantai Topejawa Takalar,Kabupaten Takalar,Sulawesi Selatan,Buruk
Bukit Countri,Kabupaten Banggai,Sulawesi Tengah,Terbaik
Weer Molino,Kabupaten Banggai,Sulawesi Tengah,Buruk
Hutan Pinus Lantongke,Kabupaten Morowali,Sulawesi Tengah,Buruk
Ekowisata Mangrove Tatakalai,Kabupaten Banggai Kepulauan,Sulawesi Tengah,Buruk
Pantai Padongko,Kabupaten Barru,Sulawesi Selatan,Buruk
"Danau Tondano, Minahasa, Sulawesi Utara",Kabupaten Minahasa,Sulawesi Utara,Sedang
Kampung Wisata Cilallang,Kabupaten Bulukumba,Sulawesi Selatan,Sedang
Mendatte Park,Kabupaten Enrekang,Sulawesi Selatan,Baik
Desa labengki,Kabupaten Konawe Utara,Sulawesi Tenggara,Sedang
Pasi Gusung Ecotourism,Kabupaten Kepulauan Selayar,Sulawesi Selatan,Buruk
Bendungan Bokong,Kabupaten Bulukumba,Sulawesi Selatan,Buruk
Air Terjun Tu'nan,Kabupaten Minahasa Selatan,Sulawesi Utara,Terbaik
Kawasan Wisata Buntu Sarira,Kabupaten Tana Toraja,Sulawesi Selatan,Terbaik
Bukit Jati Gentungan Mamuju,Kabupaten Mamuju,Sulawesi Barat,Buruk
Wisata Pemandian Barakati,Kabupaten Gorontalo,Gorontalo,Buruk
Pantai Teletabis,Kabupaten Minahasa Selatan,Sulawesi Utara,Sedang
Air Terjun Sali Sali,Kabupaten Pinrang,Sulawesi Selatan,Terbaik
Taman Marannu,Kabupaten Pinrang,Sulawesi Selatan,Baik
UWENTUMBU BAIYA,Kota Palu,Sulawesi Tengah,Terbaik
"Bukit Larata, Desa Kinunang",Kabupaten Minahasa Utara,Sulawesi Utara,Baik
Air Terjun Simoko,Kabupaten Bantaeng,Sulawesi Selatan,Baik
Wisata Mannessa Lappa Angin,Kota Parepare,Sulawesi Selatan,Buruk
Pegunungan Verbeek,Kabupaten Luwu Timur,Sulawesi Selatan,Buruk
PANTAI INDAH BATU-BATU GALESONG,Kabupaten Takalar,Sulawesi Selatan,Buruk
Bukit Safari Luwu Timur,Kabupaten Luwu Timur,Sulawesi Selatan,Buruk
Pantai Pajala,Kabupaten Muna,Sulawesi Tenggara,Baik
Pantai Babatoa Lapeo,Kabupaten Polewali Mandar,Sulawesi Barat,Terbaik
Bungko Mbembang,Kabupaten Banggai Kepulauan,Sulawesi Tengah,Sedang
Attalia Waterpool,Kabupaten Kepulauan Selayar,Sulawesi Selatan,Buruk
Dante Pine,Kabupaten Enrekang,Sulawesi Selatan,Sedang
Pulau Sangihe,Kabupaten Kepulauan Sangihe,Sulawesi Utara,Terbaik
Wale Manguni,Kabupaten Minahasa,Sulawesi Utara,Buruk
Desa Wisata Untia,Kabupaten Maros,Sulawesi Selatan,Sedang
Adilah Garden,Kota Palu,Sulawesi Tengah,Baik
WISATA BATU PANDANG,Kabupaten Bone Bolango,Gorontalo,Buruk
Wisata Bahari Leato,Kota Gorontalo,Gorontalo,Baik
Pantai Tumbak,Kabupaten Minahasa Tenggara,Sulawesi Utara,Buruk
Pantai Ponnori,Kabupaten Luwu,Sulawesi Selatan,Buruk
Padang Tobelo,Kabupaten Sidenreng Rappang,Sulawesi Selatan,Terbaik
Bukit tangga bali botutonuo,Kabupaten Bone Bolango,Gorontalo,Terbaik
Ikha cell,Kota Kotamobagu,Sulawesi Utara,Buruk
Paneki Tepi Teduh,Kabupaten Sigi,Sulawesi Tengah,Terbaik
Museum Perjuangan Rakyat Sulut,Kota Manado,Sulawesi Utara,Buruk
Jaringan EKOwisata MAngrove LAntebung,Kota Makassar,Sulawesi Selatan,Buruk
Taman Pelangi,Kabupaten Kepulauan Selayar,Sulawesi Selatan,Terbaik
Danau Limboto,Kabupaten Gorontalo,Gorontalo,Buruk
Pantai Ria Kolongan Beha,Kabupaten Kepulauan Sangihe,Sulawesi Utara,Buruk
Taipa Beach,Kabupaten Konawe Utara,Sulawesi Tenggara,Sedang
Situs Cagar Budaya Lumpang Batu Desa Bangga,Kabupaten Sigi,Sulawesi Tengah,Sedang
PUNCAK OSTAR,Kabupaten Kolaka Timur,Sulawesi Tenggara,Buruk
Pantai Pasi Marannu,Kabupaten Sinjai,Sulawesi Selatan,Buruk
Pantai Pasir Putih Pinomontiga,Kabupaten Bone Bolango,Gorontalo,Sedang
Taman Gor,Kota Palu,Sulawesi Tengah,Terbaik
Keraton Kerajaan Muna,Kabupaten Muna,Sulawesi Tenggara,Terbaik
Air Terjun Matabulu,Kabupaten Bolaang Mongondow Timur,Sulawesi Utara,Buruk
Pantai Beau Sauk,Kabupaten Bolaang Mongondow,Sulawesi Utara,Sedang
Danau Lapada,Kabupaten Konawe Utara,Sulawesi Tenggara,Terbaik
Danau Hijau Balocci,Kabupaten Pangkajene Dan Kepulauan,Sulawesi Selatan,Terbaik
Permandian Lereng Hijau Bulu Dua,Kabupaten Soppeng,Sulawesi Selatan,Terbaik
Air Terjun Andulan,Kabupaten Luwu,Sulawesi Selatan,Buruk
Pantai Pasir Putih,Kabupaten Luwu Utara,Sulawesi Selatan,Buruk
Air Terjun Bongoda'a,Kabupaten Gorontalo,Gorontalo,Buruk
Taman Kota Kendari,Kota Kendari,Sulawesi Tenggara,Terbaik
Wisata Alam Pakalolo,Kabupaten Luwu,Sulawesi Selatan,Terbaik
Danau Pasi Bungi,Kabupaten Buton,Sulawesi Tenggara,Terbaik
Pantai Babo Moonow,Kabupaten Bolaang Mongondow,Sulawesi Utara,Sedang
Leang Kassi,Kabupaten Pangkajene Dan Kepulauan,Sulawesi Selatan,Terbaik
Pantai puluty,Kabupaten Morowali,Sulawesi Tengah,Terbaik
Obyek Wisata Telaga Tambing,Kabupaten Poso,Sulawesi Tengah,Buruk
Wisata Alam Lambandia,Kabupaten Konawe Selatan,Sulawesi Tenggara,Baik
Pantai Tanjung Layar Putih,Kota Makassar,Sulawesi Selatan,Sedang
Gereja Bukit Moria,Kota Bitung,Sulawesi Utara,Baik
Pantai Melasti Rayon Tambu,Kabupaten Parigi Moutong,Sulawesi Tengah,Buruk
Objek Wisata Palawa',Kabupaten Toraja Utara,Sulawesi Selatan,Sedang
Pantai kelapa kuning,Kabupaten Konawe,Sulawesi Tenggara,Terbaik
Pantai Pasangkayu Mamuju Utara,Kabupaten Pasangkayu,Sulawesi Barat,Terbaik
Bukit Sunset Bou,Kabupaten Donggala,Sulawesi Tengah,Buruk
Bulu Sorongan,Kabupaten Barru,Sulawesi Selatan,Terbaik
Kebun Binatang Tandurusa,Kota Bitung,Sulawesi Utara,Buruk
TODDOPULI GREENLAND,Kabupaten Bulukumba,Sulawesi Selatan,Buruk
WAM(wisata Air Meronga),Kabupaten Konawe Selatan,Sulawesi Tenggara,Buruk
Pasangkayu Beach,Kabupaten Pasangkayu,Sulawesi Barat,Terbaik
